image1,image2,pos,corr_resp,c_ic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,cue.started,cue_1.started,cue.stopped,cue_1.stopped,probe.started,key_resp.started,probe.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,thankyou.started,text_2.started,text_2.stopped,thankyou.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.056752299999061506,0.07346440000037546,0.07346440000037546,1.5388824000001478,space,1.4520838000025833,None,,,,,,,,,,,,,,,,,,,4,001,2023-11-17_15h53.45.747,solo,2023.2.2,60.04091187739877,2023-11-17 15h53.59.642674 +0530,
C:\Users\twara\Downloads\Expressionless Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Blushed Smiling Emoji [Free Download IOS Emojis].png,0.3,up,ic,0,0,0,22,1.620321899998089,,,,,,,,,1.5598408000005293,1.620321899998089,2.0536169999977574,2.0536169999977574,2.553648400000384,2.553648400000384,2.8553866000002017,3.0381285000003118,3.2709299999987707,3.6558554000002914,up,1,0.6118944000008923,None,,,,,4,001,2023-11-17_15h53.45.747,solo,2023.2.2,60.04091187739877,2023-11-17 15h53.59.642674 +0530,
C:\Users\twara\Downloads\Confused Emoji [Download iPhone Emojis].png,C:\Users\twara\Downloads\Happy Emoji [Download iPhone Emojis].png,-0.3,down,c,0,1,1,24,3.7196710999996867,,,,,,,,,3.6573310999992827,3.7196710999996867,4.170779899999616,4.170779899999616,4.671128599999065,4.671128599999065,4.971376599998621,5.171503099998517,5.371148099999118,5.758067399998254,down,1,0.5807148999992933,None,,,,,4,001,2023-11-17_15h53.45.747,solo,2023.2.2,60.04091187739877,2023-11-17 15h53.59.642674 +0530,
C:\Users\twara\Downloads\Happy Emoji [Download iPhone Emojis].png,C:\Users\twara\Downloads\Confused Emoji [Download iPhone Emojis].png,0.3,up,c,0,2,2,0,5.803287599999749,,,,,,,,,5.758905200000299,5.803287599999749,6.27164780000021,6.27164780000021,6.770488399997703,6.770488399997703,7.071263499998167,7.270689299999503,7.4710040999998455,7.789677400000073,up,1,0.5024802000007185,None,,,,,4,001,2023-11-17_15h53.45.747,solo,2023.2.2,60.04091187739877,2023-11-17 15h53.59.642674 +0530,
C:\Users\twara\Downloads\Confused Emoji [Download iPhone Emojis].png,C:\Users\twara\Downloads\Laughing Emoji [Free Download IOS Emojis].png,-0.3,down,c,0,3,3,28,7.852748900000734,,,,,,,,,7.790819999998348,7.852748900000734,8.305042100000719,8.305042100000719,8.804175099998247,8.804175099998247,9.104284799999732,9.304478300000483,9.504445299997315,9.872927000000345,down,1,0.5540449999971315,None,,,,,4,001,2023-11-17_15h53.45.747,solo,2023.2.2,60.04091187739877,2023-11-17 15h53.59.642674 +0530,
C:\Users\twara\Downloads\Worried Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Very Happy Emoji [Free Download IOS Emojis].png,0.3,up,ic,0,4,4,19,9.936642099997698,,,,,,,,,9.873679399999673,9.936642099997698,10.388122199998179,10.388122199998179,10.903927499999554,10.903927499999554,11.187679499998922,11.387369899999612,11.587330199999997,11.73928579999847,up,1,0.3495617000007769,None,,,,,4,001,2023-11-17_15h53.45.747,solo,2023.2.2,60.04091187739877,2023-11-17 15h53.59.642674 +0530,
C:\Users\twara\Downloads\Smiling Emoji [Download IOS Smiling Emojis].png,C:\Users\twara\Downloads\Neutral Emoji [Free Download iPhone Emojis].png,-0.3,down,ic,0,5,5,9,11.805227199998626,,,,,,,,,11.73963879999792,11.805227199998626,12.253836399999273,12.253836399999273,12.753763699998672,12.753763699998672,13.05341050000061,13.253813999999693,13.45316869999806,13.487639200000558,down,1,0.2204649999985122,None,,,,,4,001,2023-11-17_15h53.45.747,solo,2023.2.2,60.04091187739877,2023-11-17 15h53.59.642674 +0530,
C:\Users\twara\Downloads\Expressionless Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Blushed Smiling Emoji [Free Download IOS Emojis].png,-0.3,down,c,0,6,6,30,13.519930399997975,,,,,,,,,13.488170299999183,13.519930399997975,14.003572400000849,14.003572400000849,14.503382899998542,14.503382899998542,14.787361599999713,15.003673699997307,15.18667110000024,15.270994700000301,down,1,0.259556099998008,None,,,,,4,001,2023-11-17_15h53.45.747,solo,2023.2.2,60.04091187739877,2023-11-17 15h53.59.642674 +0530,
C:\Users\twara\Downloads\Worried Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Tears Emoji [Free Download iPhone Emojis in PNG].png,-0.3,down,c,0,7,7,31,15.320095899998705,,,,,,,,,15.27156130000003,15.320095899998705,15.787251800000377,15.787251800000377,16.287019299998065,16.287019299998065,16.586891999999352,16.787002099998062,16.98667419999765,17.054323500000464,down,1,0.26229850000163424,None,,,,,4,001,2023-11-17_15h53.45.747,solo,2023.2.2,60.04091187739877,2023-11-17 15h53.59.642674 +0530,
C:\Users\twara\Downloads\Neutral Emoji [Free Download iPhone Emojis].png,C:\Users\twara\Downloads\Smiling Emoji [Download IOS Smiling Emojis].png,-0.3,down,c,0,8,8,25,17.08744469999874,,,,,,,,,17.054776499997388,17.08744469999874,17.57015490000049,17.57015490000049,18.069946799998434,18.069946799998434,18.370169099998748,18.570024199998443,18.770147799998085,19.054003599998396,down,1,0.4824501000002783,None,,,,,4,001,2023-11-17_15h53.45.747,solo,2023.2.2,60.04091187739877,2023-11-17 15h53.59.642674 +0530,
