image1,image2,pos,corr_resp,c_ic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,image.started,image_2.started,image.stopped,image_2.stopped,cue.started,key_resp.started,cue.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,thankyou.started,text_2.started,text_2.stopped,thankyou.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.06851040000037756,0.08790460000091116,0.08790460000091116,7.3030163000003085,space,7.204232399999455,None,,,,,,,,,,,,,,,,,,,5,001,2023-11-10_19h07.06.136,solo,2023.2.2,60.04033509801768,2023-11-10 19h07.15.043635 +0530,
C:\Users\twara\Downloads\Smiling Emoji [Download IOS Smiling Emojis].png,C:\Users\twara\Downloads\Neutral Emoji [Free Download iPhone Emojis].png,-0.3,down,ic,0,0,0,9,7.38390690000233,,,,,,,,,7.331341000000975,7.38390690000233,7.834341699999641,7.834341699999641,8.334659300002386,8.334659300002386,8.6031167000001,8.802965000002587,9.002739800002018,9.120673199999146,down,1,0.31231340000158525,None,,,,,5,001,2023-11-10_19h07.06.136,solo,2023.2.2,60.04033509801768,2023-11-10 19h07.15.043635 +0530,
C:\Users\twara\Downloads\Blushed Smiling Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Expressionless Emoji [Free Download IOS Emojis].png,0.3,up,c,0,1,1,6,9.185834700001578,,,,,,,,,9.12232270000095,9.185834700001578,9.635904200000368,9.635904200000368,10.135046100000181,10.135046100000181,10.435218200000236,10.63638130000254,10.834978099999717,10.836319500001991,up,1,0.19463589999941178,None,,,,,5,001,2023-11-10_19h07.06.136,solo,2023.2.2,60.04033509801768,2023-11-10 19h07.15.043635 +0530,
C:\Users\twara\Downloads\Smiling With Closed Eyes Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Expressionless Emoji [Free Download IOS Emojis].png,0.3,up,c,0,2,2,2,10.883431300000666,,,,,,,,,10.837226600000577,10.883431300000666,11.35148620000109,11.35148620000109,11.851356999999552,11.851356999999552,12.151467800002138,12.351683100001537,12.551639500001329,12.553484000000026,up,1,0.20025389999864274,None,,,,,5,001,2023-11-10_19h07.06.136,solo,2023.2.2,60.04033509801768,2023-11-10 19h07.15.043635 +0530,
C:\Users\twara\Downloads\Smiling Emoji [Download IOS Smiling Emojis].png,C:\Users\twara\Downloads\Neutral Emoji [Free Download iPhone Emojis].png,0.3,up,c,0,3,3,1,12.600836300000083,,,,,,,,,12.554403599999205,12.600836300000083,13.068413100001635,13.068413100001635,13.56762670000171,13.56762670000171,13.868108999999095,14.067908799999714,14.267926799999259,14.319788000000699,up,1,0.24667649999901187,None,,,,,5,001,2023-11-10_19h07.06.136,solo,2023.2.2,60.04033509801768,2023-11-10 19h07.15.043635 +0530,
C:\Users\twara\Downloads\Very Happy Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Worried Emoji [Free Download IOS Emojis].png,0.3,up,c,0,4,4,3,14.367683000000397,,,,,,,,,14.320766299999377,14.367683000000397,14.834774599999946,14.834774599999946,15.334338100001332,15.334338100001332,15.63495740000144,15.83455690000119,16.034557900002255,16.136019800000213,up,1,0.2938251000014134,None,,,,,5,001,2023-11-10_19h07.06.136,solo,2023.2.2,60.04033509801768,2023-11-10 19h07.15.043635 +0530,
C:\Users\twara\Downloads\Blushed Smiling Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Expressionless Emoji [Free Download IOS Emojis].png,-0.3,down,ic,0,5,5,14,16.183543700000882,,,,,,,,,16.137028699999064,16.183543700000882,16.651548300000286,16.651548300000286,17.15134670000043,17.15134670000043,17.451009299998987,17.65135620000001,,17.75262930000099,down,1,0.0851332000020193,None,,,,,5,001,2023-11-10_19h07.06.136,solo,2023.2.2,60.04033509801768,2023-11-10 19h07.15.043635 +0530,
C:\Users\twara\Downloads\Smiling With Closed Eyes Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Expressionless Emoji [Free Download IOS Emojis].png,-0.3,down,ic,0,6,6,10,17.81698519999918,,,,,,,,,17.753667900000437,17.81698519999918,18.268171200001234,18.268171200001234,18.767802599999413,18.767802599999413,19.06789750000098,19.2676919000005,19.467740500000218,19.485967900000105,down,1,0.2146160999982385,None,,,,,5,001,2023-11-10_19h07.06.136,solo,2023.2.2,60.04033509801768,2023-11-10 19h07.15.043635 +0530,
C:\Users\twara\Downloads\Worried Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Tears Emoji [Free Download iPhone Emojis in PNG].png,-0.3,down,c,0,7,7,31,19.534143000000768,,,,,,,,,19.486906800000725,19.534143000000768,20.001363899998978,20.001363899998978,20.501234999999724,20.501234999999724,20.80145049999919,21.000931099999434,,21.11927690000084,down,1,0.10360660000151256,None,,,,,5,001,2023-11-10_19h07.06.136,solo,2023.2.2,60.04033509801768,2023-11-10 19h07.15.043635 +0530,
C:\Users\twara\Downloads\Tears Emoji [Free Download iPhone Emojis in PNG].png,C:\Users\twara\Downloads\Worried Emoji [Free Download IOS Emojis].png,0.3,up,c,0,8,8,7,21.16816800000015,,,,,,,,,21.120225000002392,21.16816800000015,21.63505889999942,21.63505889999942,22.134905700000672,22.134905700000672,22.434281300000293,22.634873300001345,,22.702761000000464,up,1,0.06281400000079884,None,,,,,5,001,2023-11-10_19h07.06.136,solo,2023.2.2,60.04033509801768,2023-11-10 19h07.15.043635 +0530,
